Province_State,Country_Region,Confirmed,Deaths
,Afghanistan,27823,395
,Albania,102151,331
,Algeria,48728,592
,Andorra,21768,13
,Angola,19903,140
,Antigua and Barbuda,4272,119
,Argentina,5665655,117037
,Armenia,9215327,121394
Australian Capital Territory,Australia,420446,8618
New South Wales,Australia,36169,573
Northern Territory,Australia,3206558,4211
Queensland,Australia,71752,48
South Australia,Australia,1512866,1584
Tasmania,Australia,709576,666
Victoria,Australia,41742,1395
Western Australia,Australia,2437457,4665
,Austria,203164,16336
,Azerbaijan,4156732,11952
,Bahamas,774464,9031
,Bahrain,245947,572
,Bangladesh,925757,26567
,Barbados,1976796,29030
,Belarus,608120,5099
Antwerp,Belgium,690835,7118
Brussels,Belgium,461659,0
East Flanders,Belgium,219985,0
Flemish Brabant,Belgium,413770,0
Hainaut,Belgium,179339,0
Liege,Belgium,259957,0
Limburg,Belgium,256747,0
Luxembourg,Belgium,269787,0
Namur,Belgium,13892,0
Unknown,Belgium,154192,28331
Walloon Brabant,Belgium,21062,32263
West Flanders,Belgium,53346,0
,Belize,435300,602
,Benin,42176,519
,Bhutan,24656,160
,Bolivia,539223,19659
,Bosnia and Herzegovina,746187,8619
,Botswana,165858,13418
Acre,Brazil,237084,919
Alagoas,Brazil,97922,4365
Amapa,Brazil,190930,5051
Amazonas,Brazil,257224,11685
Bahia,Brazil,665098,13280
Ceara,Brazil,703621,5556
Distrito Federal,Brazil,841849,16311
Espirito Santo,Brazil,201259,1510
Goias,Brazil,256173,9994
Maranhao,Brazil,1258696,16812
Mato Grosso,Brazil,97096,3117
Mato Grosso do Sul,Brazil,431878,5139
Minas Gerais,Brazil,1659100,45952
Para,Brazil,3195308,45866
Paraiba,Brazil,346863,8948
Parana,Brazil,952717,30534
Pernambuco,Brazil,2047417,24050
Piaui,Brazil,694801,14774
Rio Grande do Norte,Brazil,597,313
Rio Grande do Sul,Brazil,960357,28044
Rio de Janeiro,Brazil,1293042,29004
Rondonia,Brazil,2163168,68103
Roraima,Brazil,315330,5224
Santa Catarina,Brazil,1071046,18030
Sao Paulo,Brazil,2617050,132983
Sergipe,Brazil,5641721,166890
Tocantins,Brazil,105579,2474
,Brunei,323831,4088
,Bulgaria,542294,30758
,Burkina Faso,1192145,37086
,Burma,509818,18885
,Burundi,586747,19396
,Cabo Verde,2845,314
,Cambodia,58344,2602
,Cameroon,27462,1205
Alberta,Canada,241408,1379
British Columbia,Canada,339625,2242
Diamond Princess,Canada,378291,3907
Grand Princess,Canada,13,1
Manitoba,Canada,80083,1392
New Brunswick,Canada,131994,1901
Newfoundland and Labrador,Canada,66882,424
Northwest Territories,Canada,47183,191
Nova Scotia,Canada,6943,89
Nunavut,Canada,112866,463
Ontario,Canada,807769,10199
Prince Edward Island,Canada,1383656,13702
Quebec,Canada,573949,11683
Repatriated Travellers,Canada,1148787,15959
Saskatchewan,Canada,85175,955
Yukon,Canada,138536,1423
,Central African Republic,7462,75
,Chad,8581,71
Antofagasta,Chile,59601,1093
Araucania,Chile,46384,262
Arica y Parinacota,Chile,211225,2088
Atacama,Chile,34861,445
Aysen,Chile,79884,545
Biobio,Chile,139376,2654
Coquimbo,Chile,354501,3312
Los Lagos,Chile,66516,248
Los Rios,Chile,155828,1645
Magallanes,Chile,88058,753
Maule,Chile,51296,1138
Metropolitana,Chile,478369,16927
Nuble,Chile,1610746,28500
OHiggins,Chile,45125,481
Tarapaca,Chile,135239,1786
Unknown,Chile,91754,1104
Valparaiso,Chile,138410,3636
Anhui,China,393009,5910
Beijing,China,293,3
Chongqing,China,3147,3
Fujian,China,587,5
Gansu,China,3363,1
Guangdong,China,2144,6
Guangxi,China,7529,6
Guizhou,China,2041,0
Hainan,China,4,4
Hebei,China,1131,1
Heilongjiang,China,28,6
Henan,China,1351,9
Hong Kong,China,9441,191
Hubei,China,1289931,4997
Hunan,China,67186,4508
Inner Mongolia,China,224,3
Jiangsu,China,549,1
Jiangxi,China,1364,1
Jilin,China,849,2
Liaoning,China,39497,3
Macau,China,1661,2
Ningxia,China,669,6
Qinghai,China,92,0
Shaanxi,China,2194,3
Shandong,China,2339,4
Shanghai,China,271,0
Shanxi,China,63343,595
Sichuan,China,896,3
Tianjin,China,2090,0
Tibet,China,2082,3
Unknown,China,12880,0
Xinjiang,China,675703,3
Yunnan,China,809,1
Zhejiang,China,185,1
Amazonas,Colombia,3884,258
Antioquia,Colombia,789251,16645
Arauca,Colombia,924262,17910
Atlantico,Colombia,327704,9206
Bolivar,Colombia,252060,7122
Boyaca,Colombia,95227,675
Caldas,Colombia,26258,525
Capital District,Colombia,1366032,25189
Caqueta,Colombia,1813079,28668
Casanare,Colombia,10798,93
Cauca,Colombia,15355,586
Cesar,Colombia,17987,755
Choco,Colombia,91477,2274
Cordoba,Colombia,86316,3313
Cundinamarca,Colombia,146608,2913
Guainia,Colombia,323177,7294
Guaviare,Colombia,2411,60
Huila,Colombia,84402,3090
La Guajira,Colombia,55401,2097
Magdalena,Colombia,43969,1947
Meta,Colombia,25888,1336
Narino,Colombia,15556,481
Norte de Santander,Colombia,4363,1367
Putumayo,Colombia,105091,4412
Quindio,Colombia,38049,1073
Risaralda,Colombia,17607,213
San Andres y Providencia,Colombia,100358,2325
Santander,Colombia,225260,7370
Sucre,Colombia,230976,6605
Tolima,Colombia,41956,1956
Unknown,Colombia,126379,3745
Valle del Cauca,Colombia,434082,13040
Vaupes,Colombia,558972,15213
Vichada,Colombia,1151,35
,Comoros,3249,94
,Congo (Brazzaville),11774,207
,Congo (Kinshasa),50018,819
,Costa Rica,478383,5963
,Cote d'Ivoire,956560,8002
,Croatia,635170,11760
,Cuba,220314,8003
,Cyprus,939042,7891
,Czechia,1917825,35067
Faroe Islands,Denmark,4267223,40486
Greenland,Denmark,32047,27
,Denmark,811311,3251
,Diamond Princess,3232911,6658
,Djibouti,12956,176
,Dominica,8828,142
,Dominican Republic,405075,4179
,Ecuador,78023,29299
,Egypt,574987,14033
,El Salvador,393700,20941
,Equatorial Guinea,177108,4024
,Eritrea,8715,107
,Estonia,232069,1835
,Eswatini,520158,1312
,Ethiopia,351058,5530
,Fiji,438131,6868
,Finland,210027,855
French Guiana,France,1123403,4674
French Polynesia,France,46193,232
Guadeloupe,France,19462,182
Martinique,France,134895,188
Mayotte,France,187947,807
New Caledonia,France,25820,94
Reunion,France,6806,95
Saint Barthelemy,France,433029,826
Saint Pierre and Miquelon,France,4955,6
St Martin,France,1167,57
Wallis and Futuna,France,11081,56
,France,9980179,121304
,Gabon,32910980,148511
,Gambia,38341,37
,Georgia,924766,13482
Baden-Wurttemberg,Germany,674002,3854
Bayern,Germany,2919235,2999
Berlin,Germany,5324124,20883
Brandenburg,Germany,941672,35
Bremen,Germany,833521,5171
Hamburg,Germany,101422,1174
Hessen,Germany,211834,5712
Mecklenburg-Vorpommern,Germany,2198779,9147
Niedersachsen,Germany,114106,4484
Nordrhein-Westfalen,Germany,1577818,10282
Rheinland-Pfalz,Germany,5979017,21752
Saarland,Germany,1310849,4670
Sachsen,Germany,266878,11052
Sachsen-Anhalt,Germany,1430664,11451
Schleswig-Holstein,Germany,673891,3598
Thuringen,Germany,646028,3114
Unknown,Germany,754317,7442
,Ghana,143997,1298
,Greece,1072735,19392
,Grenada,4343124,30799
,Guatemala,609803,15874
,Guinea,1010144,18660
,Guinea-Bissau,30924,296
,Guyana,31367,882
,Haiti,43621,498
,Holy See,32437,838
,Honduras,379373,10433
,Hungary,816514,28254
,Iceland,1938422,46753
Andaman and Nicobar Islands,India,194424,50
Andhra Pradesh,India,2066866,14366
Arunachal Pradesh,India,2276822,14451
Assam,India,555022,5869
Bihar,India,12337,4079
Chandigarh,India,777755,11205
Chhattisgarh,India,911796,12432
Dadra and Nagar Haveli and Daman and Diu,India,1155726,14063
Delhi,India,1439394,25104
Goa,India,1775411,22791
Gujarat,India,580600,6265
Haryana,India,481437,907
Himachal Pradesh,India,801708,6767
Jammu and Kashmir,India,41079,366
Jharkhand,India,112417,372
Karnataka,India,2568204,33013
Kerala,India,1240962,7887
Ladakh,India,6700204,70262
Lakshadweep,India,18483,177
Madhya Pradesh,India,782674,10481
Maharashtra,India,5637929,130777
Manipur,India,7922478,146103
Meghalaya,India,54294,645
Mizoram,India,46291,1060
Nagaland,India,200936,8
Odisha,India,1019339,7691
Puducherry,India,1184442,7260
Punjab,India,434167,14679
Rajasthan,India,182261,8854
Sikkim,India,1262065,9171
Tamil Nadu,India,2707270,36312
Telangana,India,2863390,34003
Tripura,India,735509,3282
Unknown,India,106748,930
Uttar Pradesh,India,1711985,22915
Uttarakhand,India,1757742,16150
West Bengal,India,1199782,12064
,Indonesia,2168667,122724
,Iran,15391,25365
,Iraq,5306834,117897
,Ireland,1634048,19404
,Israel,254113,569
Abruzzo,Italy,4475084,8751
Basilicata,Italy,470902,2908
Calabria,Italy,57782,651
Campania,Italy,99757,5642
Emilia-Romagna,Italy,1561581,3368
Friuli Venezia Giulia,Italy,1603372,13296
Lazio,Italy,63958,4014
Liguria,Italy,1802857,7179
Lombardia,Italy,719073,29653
Marche,Italy,3225844,38335
Molise,Italy,558850,3519
P.A. Bolzano,Italy,19219,654
P.A. Trento,Italy,182797,86
Piemonte,Italy,307782,10477
Puglia,Italy,1072459,6548
Sardegna,Italy,1310030,7092
Sicilia,Italy,39555,4911
Toscana,Italy,1162599,4116
Umbria,Italy,1246411,8921
Valle d'Aosta,Italy,334522,1481
Veneto,Italy,618025,11850
,Jamaica,2006709,12597
Aichi,Japan,39359,2033
Akita,Japan,799203,2143
Aomori,Japan,40008,41
Chiba,Japan,8525,886
Ehime,Japan,624086,1791
Fukui,Japan,69151,114
Fukuoka,Japan,15943,573
Fukushima,Japan,653133,1191
Gifu,Japan,69528,13
Gunma,Japan,132697,196
Hiroshima,Japan,112705,142
Hokkaido,Japan,155066,958
Hyogo,Japan,383291,742
Ibaraki,Japan,586293,2107
Ishikawa,Japan,203763,347
Iwate,Japan,80730,148
Kagawa,Japan,50808,72
Kagoshima,Japan,61815,84
Kanagawa,Japan,20871,1080
Kochi,Japan,1036573,2293
Kumamoto,Japan,29525,16
Kyoto,Japan,152917,88
Mie,Japan,277860,607
Miyagi,Japan,110556,222
Miyazaki,Japan,129375,172
Nagano,Japan,85700,75
Nagasaki,Japan,100390,136
Nara,Japan,83992,1
Niigata,Japan,120663,344
Oita,Japan,101936,9
Okayama,Japan,77575,54
Okinawa,Japan,88063,139
Osaka,Japan,158206,2557
Port Quarantine,Japan,1372870,5347
Saga,Japan,14818,22
Saitama,Japan,27257,924
Shiga,Japan,761428,1583
Shimane,Japan,128416,228
Shizuoka,Japan,16248,166
Tochigi,Japan,247697,333
Tokushima,Japan,125714,238
Tokyo,Japan,347227,3083
Tottori,Japan,2187022,4667
Toyama,Japan,24178,28
Unknown,Japan,59700,103
Wakayama,Japan,5296,62
Yamagata,Japan,63415,81
Yamaguchi,Japan,36723,11
Yamanashi,Japan,68741,170
,Jordan,1013452,12607
,Kazakhstan,642297,4128
,Kenya,1144990,13641
,Kiribati,337637,5672
,"Korea, South",635653,5681
,Kosovo,161530,2985
,Kuwait,19514716,22616
,Kyrgyzstan,69995,369
,Laos,541647,2185
,Latvia,74156,1586
,Lebanon,520017,8379
,Lesotho,834677,5225
,Liberia,1169236,10247
,Libya,354694,5008
,Liechtenstein,1371,225
,Lithuania,23017,981
,Luxembourg,85053,829
,MS Zaandam,1183527,9207
,Madagascar,231973,82
,Malawi,75819,2366
Johor,Malaysia,178875,2453
Kedah,Malaysia,81215,507
Kelantan,Malaysia,219467,3311
Melaka,Malaysia,228112,1714
Negeri Sembilan,Malaysia,136005,101
Pahang,Malaysia,33798,383
Perak,Malaysia,84542,89
Perlis,Malaysia,166897,852
Pulau Pinang,Malaysia,53980,230
Sabah,Malaysia,222900,2595
Sarawak,Malaysia,38600,393
Selangor,Malaysia,405629,6821
Terengganu,Malaysia,226939,1036
Unknown,Malaysia,1429091,10763
W.P. Kuala Lumpur,Malaysia,83640,1806
W.P. Labuan,Malaysia,10826,151
W.P. Putrajaya,Malaysia,395096,2802
,Maldives,74001,107
,Mali,3000,639
,Malta,130982,170
,Marshall Islands,31224,739
,Mauritania,71012,76
,Mauritius,68486,786
Aguascalientes,Mexico,23173,2042
Baja California,Mexico,152889,10039
Baja California Sur,Mexico,16570,1105
Campeche,Mexico,129894,10252
Chiapas,Mexico,96809,413
Chihuahua,Mexico,39154,6474
Ciudad de Mexico,Mexico,962904,37908
Coahuila,Mexico,50776,2240
Colima,Mexico,1640558,41257
Durango,Mexico,121326,5701
Guanajuato,Mexico,138918,11172
Guerrero,Mexico,1240,2667
Hidalgo,Mexico,266482,7044
Jalisco,Mexico,54689,11001
Mexico,Mexico,273763,36371
Michoacan,Mexico,197729,11580
Morelos,Mexico,619957,42649
Nayarit,Mexico,70809,5985
Nuevo Leon,Mexico,129125,8449
Oaxaca,Mexico,14384,2442
Puebla,Mexico,253068,533
Queretaro,Mexico,39461,605
Quintana Roo,Mexico,135415,12451
San Luis Potosi,Mexico,60160,595
Sinaloa,Mexico,34773,4607
Sonora,Mexico,97807,1618
Tabasco,Mexico,20496,4084
Tamaulipas,Mexico,82516,3107
Tlaxcala,Mexico,181188,3095
Unknown,Mexico,169785,8108
Veracruz,Mexico,71675,12001
Yucatan,Mexico,76274,5725
Zacatecas,Mexico,170927,13440
,Micronesia,133780,6881
,Moldova,300995,6402
,Monaco,664,35
,Mongolia,160932,9622
,Montenegro,157744,2353
,Morocco,21730,12732
,Mozambique,68250,736
,Namibia,1112286,12593
,Nepal,599172,9379
Aruba,Netherlands,148271,3891
"Bonaire, Sint Eustatius and Saba",Netherlands,983799,11945
Curacao,Netherlands,19939,35
Drenthe,Netherlands,53188,381
Flevoland,Netherlands,28199,27
Friesland,Netherlands,111256,123
Gelderland,Netherlands,169747,2242
Groningen,Netherlands,209714,295
Limburg,Netherlands,786109,781
Noord-Brabant,Netherlands,224450,3144
Noord-Holland,Netherlands,21414,932
Overijssel,Netherlands,1064491,2380
Sint Maarten,Netherlands,1367647,3342
Unknown,Netherlands,577656,1396
Utrecht,Netherlands,237954,1378
Zeeland,Netherlands,64999,355
Zuid-Holland,Netherlands,32851,3326
Cook Islands,New Zealand,174230,392
,New Zealand,1736165,5151
,Nicaragua,7482,216
,Niger,1621860,1287
,Nigeria,228070,2789
,North Macedonia,216380,7658
,Norway,135438,1842
,Oman,22691,5257
Azad Jammu and Kashmir,Pakistan,1421373,2877
Balochistan,Pakistan,362093,4264
Gilgit-Baltistan,Pakistan,33259,607
Islamabad,Pakistan,72909,589
Khyber Pakhtunkhwa,Pakistan,169534,5741
Punjab,Pakistan,307713,12045
Sindh,Pakistan,260948,1343
,Palau,514130,13589
,Panama,93316,751
,Papua New Guinea,30850,584
,Paraguay,488268,8199
Amazonas,Peru,11996,620
Ancash,Peru,626033,12460
Apurimac,Peru,21915,169
Arequipa,Peru,23837,2501
Ayacucho,Peru,6923,508
Cajamarca,Peru,184367,6250
Callao,Peru,52509,7758
Cusco,Peru,29739,331
Huancavelica,Peru,138384,9376
Huanuco,Peru,92742,2513
Ica,Peru,34035,7318
Junin,Peru,33265,4176
La Libertad,Peru,15667,1409
Lambayeque,Peru,73489,1149
Lima,Peru,842705,78509
